Book,Chapter,Verse,Text
Acts,1,Title,The Promise of the Holy Spirit
Acts,1,Title,The Ascension of Jesus
Acts,1,Title,Matthias Chosen to Replace Judas
Acts,1,1,"In the first book, Theophilus, I wrote about all that Jesus did and taught from the beginning "
Acts,1,2,"until the day when he was taken up to heaven, after giving instructions through the Holy Spirit to the apostles whom he had chosen. "
Acts,1,3,"After his suffering he presented himself alive to them by many convincing proofs, appearing to them during forty days and speaking about the kingdom of God. "
Acts,1,4,"While staying with them, he ordered them not to leave Jerusalem, but to wait there for the promise of the Father. “This,” he said, “is what you have heard from me; "
Acts,1,5,"for John baptized with water, but you will be baptized with the Holy Spirit not many days from now.” "
Acts,1,6,"So when they had come together, they asked him, “Lord, is this the time when you will restore the kingdom to Israel?” "
Acts,1,7,"He replied, “It is not for you to know the times or periods that the Father has set by his own authority. "
Acts,1,8,"But you will receive power when the Holy Spirit has come upon you; and you will be my witnesses in Jerusalem, in all Judea and Samaria, and to the ends of the earth.” "
Acts,1,9,"When he had said this, as they were watching, he was lifted up, and a cloud took him out of their sight. "
Acts,1,10,"While he was going and they were gazing up toward heaven, suddenly two men in white robes stood by them. "
Acts,1,11,"They said, “Men of Galilee, why do you stand looking up toward heaven? This Jesus, who has been taken up from you into heaven, will come in the same way as you saw him go into heaven.” "
Acts,1,12,"Then they returned to Jerusalem from the mount called Olivet, which is near Jerusalem, a sabbath day’s journey away. "
Acts,1,13,"When they had entered the city, they went to the room upstairs where they were staying, Peter, and John, and James, and Andrew, Philip and Thomas, Bartholomew and Matthew, James son of Alphaeus, and Simon the Zealot, and Judas son of James. "
Acts,1,14,"All these were constantly devoting themselves to prayer, together with certain women, including Mary the mother of Jesus, as well as his brothers. "
Acts,1,15,"In those days Peter stood up among the believers (together the crowd numbered about one hundred twenty persons) and said, "
Acts,1,16,"“Friends, the scripture had to be fulfilled, which the Holy Spirit through David foretold concerning Judas, who became a guide for those who arrested Jesus— "
Acts,1,17,for he was numbered among us and was allotted his share in this ministry.” 
Acts,1,18,"(Now this man acquired a field with the reward of his wickedness; and falling headlong, he burst open in the middle and all his bowels gushed out. "
Acts,1,19,"This became known to all the residents of Jerusalem, so that the field was called in their language Hakeldama, that is, Field of Blood.) "
Acts,1,20,"“For it is written in the book of Psalms, ‘Let his homestead become desolate, and let there be no one to live in it’; and ‘Let another take his position of overseer.’ "
Acts,1,21,"So one of the men who have accompanied us during all the time that the Lord Jesus went in and out among us, "
Acts,1,22,beginning from the baptism of John until the day when he was taken up from us—one of these must become a witness with us to his resurrection.” 
Acts,1,23,"So they proposed two, Joseph called Barsabbas, who was also known as Justus, and Matthias. "
Acts,1,24,"Then they prayed and said, “Lord, you know everyone’s heart. Show us which one of these two you have chosen "
Acts,1,25,to take the place in this ministry and apostleship from which Judas turned aside to go to his own place.” 
Acts,1,26,"And they cast lots for them, and the lot fell on Matthias; and he was added to the eleven apostles. "
