Book,Chapter,Verse,Text
John,18,Title,The Betrayal and Arrest of Jesus
John,18,Title,Jesus before the High Priest
John,18,Title,Peter Denies Jesus
John,18,Title,The High Priest Questions Jesus
John,18,Title,Peter Denies Jesus Again
John,18,Title,Jesus before Pilate
John,18,Title,Jesus Sentenced to Death
John,18,1,"After Jesus had spoken these words, he went out with his disciples across the Kidron valley to a place where there was a garden, which he and his disciples entered. "
John,18,2,"Now Judas, who betrayed him, also knew the place, because Jesus often met there with his disciples. "
John,18,3,"So Judas brought a detachment of soldiers together with police from the chief priests and the Pharisees, and they came there with lanterns and torches and weapons. "
John,18,4,"Then Jesus, knowing all that was to happen to him, came forward and asked them, “Whom are you looking for?” "
John,18,5,"They answered, “Jesus of Nazareth.” Jesus replied, “I am he.” Judas, who betrayed him, was standing with them. "
John,18,6,"When Jesus said to them, “I am he,” they stepped back and fell to the ground. "
John,18,7,"Again he asked them, “Whom are you looking for?” And they said, “Jesus of Nazareth.” "
John,18,8,"Jesus answered, “I told you that I am he. So if you are looking for me, let these men go.” "
John,18,9,"This was to fulfill the word that he had spoken, “I did not lose a single one of those whom you gave me.” "
John,18,10,"Then Simon Peter, who had a sword, drew it, struck the high priest’s slave, and cut off his right ear. The slave’s name was Malchus. "
John,18,11,"Jesus said to Peter, “Put your sword back into its sheath. Am I not to drink the cup that the Father has given me?” "
John,18,12,"So the soldiers, their officer, and the Jewish police arrested Jesus and bound him. "
John,18,13,"First they took him to Annas, who was the father-in-law of Caiaphas, the high priest that year. "
John,18,14,Caiaphas was the one who had advised the Jews that it was better to have one person die for the people. 
John,18,15,"Simon Peter and another disciple followed Jesus. Since that disciple was known to the high priest, he went with Jesus into the courtyard of the high priest, "
John,18,16,"but Peter was standing outside at the gate. So the other disciple, who was known to the high priest, went out, spoke to the woman who guarded the gate, and brought Peter in. "
John,18,17,"The woman said to Peter, “You are not also one of this man’s disciples, are you?” He said, “I am not.” "
John,18,18,"Now the slaves and the police had made a charcoal fire because it was cold, and they were standing around it and warming themselves. Peter also was standing with them and warming himself. "
John,18,19,Then the high priest questioned Jesus about his disciples and about his teaching. 
John,18,20,"Jesus answered, “I have spoken openly to the world; I have always taught in synagogues and in the temple, where all the Jews come together. I have said nothing in secret. "
John,18,21,Why do you ask me? Ask those who heard what I said to them; they know what I said.” 
John,18,22,"When he had said this, one of the police standing nearby struck Jesus on the face, saying, “Is that how you answer the high priest?” "
John,18,23,"Jesus answered, “If I have spoken wrongly, testify to the wrong. But if I have spoken rightly, why do you strike me?” "
John,18,24,Then Annas sent him bound to Caiaphas the high priest. 
John,18,25,"Now Simon Peter was standing and warming himself. They asked him, “You are not also one of his disciples, are you?” He denied it and said, “I am not.” "
John,18,26,"One of the slaves of the high priest, a relative of the man whose ear Peter had cut off, asked, “Did I not see you in the garden with him?” "
John,18,27,"Again Peter denied it, and at that moment the cock crowed. "
John,18,28,"Then they took Jesus from Caiaphas to Pilate’s headquarters. It was early in the morning. They themselves did not enter the headquarters, so as to avoid ritual defilement and to be able to eat the Passover. "
John,18,29,"So Pilate went out to them and said, “What accusation do you bring against this man?” "
John,18,30,"They answered, “If this man were not a criminal, we would not have handed him over to you.” "
John,18,31,"Pilate said to them, “Take him yourselves and judge him according to your law.” The Jews replied, “We are not permitted to put anyone to death.” "
John,18,32,(This was to fulfill what Jesus had said when he indicated the kind of death he was to die.) 
John,18,33,"Then Pilate entered the headquarters again, summoned Jesus, and asked him, “Are you the King of the Jews?” "
John,18,34,"Jesus answered, “Do you ask this on your own, or did others tell you about me?” "
John,18,35,"Pilate replied, “I am not a Jew, am I? Your own nation and the chief priests have handed you over to me. What have you done?” "
John,18,36,"Jesus answered, “My kingdom is not from this world. If my kingdom were from this world, my followers would be fighting to keep me from being handed over to the Jews. But as it is, my kingdom is not from here.” "
John,18,37,"Pilate asked him, “So you are a king?” Jesus answered, “You say that I am a king. For this I was born, and for this I came into the world, to testify to the truth. Everyone who belongs to the truth listens to my voice.” "
John,18,38,"Pilate asked him, “What is truth?” After he had said this, he went out to the Jews again and told them, “I find no case against him. "
John,18,39,But you have a custom that I release someone for you at the Passover. Do you want me to release for you the King of the Jews?” 
John,18,40,"They shouted in reply, “Not this man, but Barabbas!” Now Barabbas was a bandit. "
