Book,Chapter,Verse,Text
Luke,18,Title,The Parable of the Widow and the Unjust Judge
Luke,18,Title,The Parable of the Pharisee and the Tax Collector
Luke,18,Title,Jesus Blesses Little Children
Luke,18,Title,The Rich Ruler
Luke,18,Title,A Third Time Jesus Foretells His Death and Resurrection
Luke,18,Title,Jesus Heals a Blind Beggar Near Jericho
Luke,18,1,Then Jesus told them a parable about their need to pray always and not to lose heart. 
Luke,18,2,"He said, “In a certain city there was a judge who neither feared God nor had respect for people. "
Luke,18,3,"In that city there was a widow who kept coming to him and saying, ‘Grant me justice against my opponent.’ "
Luke,18,4,"For a while he refused; but later he said to himself, ‘Though I have no fear of God and no respect for anyone, "
Luke,18,5,"yet because this widow keeps bothering me, I will grant her justice, so that she may not wear me out by continually coming.’” "
Luke,18,6,"And the Lord said, “Listen to what the unjust judge says. "
Luke,18,7,And will not God grant justice to his chosen ones who cry to him day and night? Will he delay long in helping them? 
Luke,18,8,"I tell you, he will quickly grant justice to them. And yet, when the Son of Man comes, will he find faith on earth?” "
Luke,18,9,He also told this parable to some who trusted in themselves that they were righteous and regarded others with contempt: 
Luke,18,10,"“Two men went up to the temple to pray, one a Pharisee and the other a tax collector. "
Luke,18,11,"The Pharisee, standing by himself, was praying thus, ‘God, I thank you that I am not like other people: thieves, rogues, adulterers, or even like this tax collector. "
Luke,18,12,I fast twice a week; I give a tenth of all my income.’ 
Luke,18,13,"But the tax collector, standing far off, would not even look up to heaven, but was beating his breast and saying, ‘God, be merciful to me, a sinner!’ "
Luke,18,14,"I tell you, this man went down to his home justified rather than the other; for all who exalt themselves will be humbled, but all who humble themselves will be exalted.” "
Luke,18,15,"People were bringing even infants to him that he might touch them; and when the disciples saw it, they sternly ordered them not to do it. "
Luke,18,16,"But Jesus called for them and said, “Let the little children come to me, and do not stop them; for it is to such as these that the kingdom of God belongs. "
Luke,18,17,"Truly I tell you, whoever does not receive the kingdom of God as a little child will never enter it.” "
Luke,18,18,"A certain ruler asked him, “Good Teacher, what must I do to inherit eternal life?” "
Luke,18,19,"Jesus said to him, “Why do you call me good? No one is good but God alone. "
Luke,18,20,You know the commandments: ‘You shall not commit adultery; You shall not murder; You shall not steal; You shall not bear false witness; Honor your father and mother.’” 
Luke,18,21,"He replied, “I have kept all these since my youth.” "
Luke,18,22,"When Jesus heard this, he said to him, “There is still one thing lacking. Sell all that you own and distribute the money to the poor, and you will have treasure in heaven; then come, follow me.” "
Luke,18,23,"But when he heard this, he became sad; for he was very rich. "
Luke,18,24,"Jesus looked at him and said, “How hard it is for those who have wealth to enter the kingdom of God! "
Luke,18,25,"Indeed, it is easier for a camel to go through the eye of a needle than for someone who is rich to enter the kingdom of God.” "
Luke,18,26,"Those who heard it said, “Then who can be saved?” "
Luke,18,27,"He replied, “What is impossible for mortals is possible for God.” "
Luke,18,28,"Then Peter said, “Look, we have left our homes and followed you.” "
Luke,18,29,"And he said to them, “Truly I tell you, there is no one who has left house or wife or brothers or parents or children, for the sake of the kingdom of God, "
Luke,18,30,"who will not get back very much more in this age, and in the age to come eternal life.” "
Luke,18,31,"Then he took the twelve aside and said to them, “See, we are going up to Jerusalem, and everything that is written about the Son of Man by the prophets will be accomplished. "
Luke,18,32,For he will be handed over to the Gentiles; and he will be mocked and insulted and spat upon. 
Luke,18,33,"After they have flogged him, they will kill him, and on the third day he will rise again.” "
Luke,18,34,"But they understood nothing about all these things; in fact, what he said was hidden from them, and they did not grasp what was said. "
Luke,18,35,"As he approached Jericho, a blind man was sitting by the roadside begging. "
Luke,18,36,"When he heard a crowd going by, he asked what was happening. "
Luke,18,37,"They told him, “Jesus of Nazareth is passing by.” "
Luke,18,38,"Then he shouted, “Jesus, Son of David, have mercy on me!” "
Luke,18,39,"Those who were in front sternly ordered him to be quiet; but he shouted even more loudly, “Son of David, have mercy on me!” "
Luke,18,40,"Jesus stood still and ordered the man to be brought to him; and when he came near, he asked him, "
Luke,18,41,"“What do you want me to do for you?” He said, “Lord, let me see again.” "
Luke,18,42,"Jesus said to him, “Receive your sight; your faith has saved you.” "
Luke,18,43,"Immediately he regained his sight and followed him, glorifying God; and all the people, when they saw it, praised God. "
