Book,Chapter,Verse,Text
Matthew,11,Title,Messengers from John the Baptist
Matthew,11,Title,Jesus Praises John the Baptist
Matthew,11,Title,Woes to Unrepentant Cities
Matthew,11,Title,Jesus Thanks His Father
Matthew,11,1,"Now when Jesus had finished instructing his twelve disciples, he went on from there to teach and proclaim his message in their cities. "
Matthew,11,2,"When John heard in prison what the Messiah was doing, he sent word by his disciples "
Matthew,11,3,"and said to him, “Are you the one who is to come, or are we to wait for another?” "
Matthew,11,4,"Jesus answered them, “Go and tell John what you hear and see: "
Matthew,11,5,"the blind receive their sight, the lame walk, the lepers are cleansed, the deaf hear, the dead are raised, and the poor have good news brought to them. "
Matthew,11,6,And blessed is anyone who takes no offense at me.” 
Matthew,11,7,"As they went away, Jesus began to speak to the crowds about John: “What did you go out into the wilderness to look at? A reed shaken by the wind? "
Matthew,11,8,"What then did you go out to see? Someone dressed in soft robes? Look, those who wear soft robes are in royal palaces. "
Matthew,11,9,"What then did you go out to see? A prophet? Yes, I tell you, and more than a prophet. "
Matthew,11,10,"This is the one about whom it is written, ‘See, I am sending my messenger ahead of you, who will prepare your way before you.’ "
Matthew,11,11,"Truly I tell you, among those born of women no one has arisen greater than John the Baptist; yet the least in the kingdom of heaven is greater than he. "
Matthew,11,12,"From the days of John the Baptist until now the kingdom of heaven has suffered violence, and the violent take it by force. "
Matthew,11,13,For all the prophets and the law prophesied until John came; 
Matthew,11,14,"and if you are willing to accept it, he is Elijah who is to come. "
Matthew,11,15,Let anyone with ears listen! 
Matthew,11,16,"“But to what will I compare this generation? It is like children sitting in the marketplaces and calling to one another, "
Matthew,11,17,"‘We played the flute for you, and you did not dance; we wailed, and you did not mourn.’ "
Matthew,11,18,"For John came neither eating nor drinking, and they say, ‘He has a demon’; "
Matthew,11,19,"the Son of Man came eating and drinking, and they say, ‘Look, a glutton and a drunkard, a friend of tax collectors and sinners!’ Yet wisdom is vindicated by her deeds.” "
Matthew,11,20,"Then he began to reproach the cities in which most of his deeds of power had been done, because they did not repent. "
Matthew,11,21,"“Woe to you, Chorazin! Woe to you, Bethsaida! For if the deeds of power done in you had been done in Tyre and Sidon, they would have repented long ago in sackcloth and ashes. "
Matthew,11,22,"But I tell you, on the day of judgment it will be more tolerable for Tyre and Sidon than for you. "
Matthew,11,23,"And you, Capernaum, will you be exalted to heaven? No, you will be brought down to Hades. For if the deeds of power done in you had been done in Sodom, it would have remained until this day. "
Matthew,11,24,But I tell you that on the day of judgment it will be more tolerable for the land of Sodom than for you.” 
Matthew,11,25,"At that time Jesus said, “I thank you, Father, Lord of heaven and earth, because you have hidden these things from the wise and the intelligent and have revealed them to infants; "
Matthew,11,26,"yes, Father, for such was your gracious will. "
Matthew,11,27,"All things have been handed over to me by my Father; and no one knows the Son except the Father, and no one knows the Father except the Son and anyone to whom the Son chooses to reveal him. "
Matthew,11,28,"“Come to me, all you that are weary and are carrying heavy burdens, and I will give you rest. "
Matthew,11,29,"Take my yoke upon you, and learn from me; for I am gentle and humble in heart, and you will find rest for your souls. "
Matthew,11,30,"For my yoke is easy, and my burden is light.” "
